"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","학년","성별","왕복오래달리기(회)","오래달리기걷기(초)","스텝검사(PEI)","앉아윗몸앞으로굽히기(cm)","종합유연성(점)","(무릎대고)팔굽혀펴기(회)","윗몸말아올리기(회)","악력(kg)","50m달리기(초)","제자리멀리뛰기(cm)","BMI(kg/㎡)","체지방률(%fat)","인원","%","인원","%","인원","%","인원","%","인원","%","검사인원수"
"서울특별시교육청","교육부","서울특별시 강남구","S000003540","국립국악고등학교","04","국립","N","","1학년","남자","74","0.00","","13.9","","","","40.4","","199.7","23.9","","2","6.3","13","40.6","14","43.8","3","9.4","0","0","32"
"서울특별시교육청","교육부","서울특별시 강남구","S000003540","국립국악고등학교","04","국립","N","","1학년","여자","55","0.00","","18.8","","","","25.5","","142.8","20.3","","3","2.6","67","57.8","44","37.9","2","1.7","0","0","116"
"서울특별시교육청","교육부","서울특별시 강남구","S000003540","국립국악고등학교","04","국립","N","","2학년","남자","71","0.00","","14","","","","41.6","","206.5","23.6","","0","0","8","44.4","9","50","0","0","1","5.6","18"
"서울특별시교육청","교육부","서울특별시 강남구","S000003540","국립국악고등학교","04","국립","N","","2학년","여자","50.1","0.00","","19.4","","","","25.6","","147.6","21.5","","3","2.4","56","44.8","61","48.8","5","4","0","0","125"
"서울특별시교육청","교육부","서울특별시 강남구","S000003540","국립국악고등학교","04","국립","N","","3학년","남자","68.6","0.00","","12.9","","","","41.4","","198.8","24.3","","0","0","6","27.3","9","40.9","7","31.8","0","0","22"
"서울특별시교육청","교육부","서울특별시 강남구","S000003540","국립국악고등학교","04","국립","N","","3학년","여자","56.9","0.00","","18.4","","","","25.9","","143.8","21.2","","3","2.4","57","46","59","47.6","5","4","0","0","124"
"서울특별시교육청","교육부","서울특별시 성북구","S000003561","서울대학교사범대학부설고등학교","04","국립","N","","1학년","남자","50.8","0.00","","8.5","","","","40.9","","187.8","22.9","","4","3.5","29","25.4","47","41.2","29","25.4","5","4.4","114"
"서울특별시교육청","교육부","서울특별시 성북구","S000003561","서울대학교사범대학부설고등학교","04","국립","N","","1학년","여자","18.6","0.00","","17","","","","26.3","","145.4","21","","3","2.8","30","27.5","48","44","25","22.9","3","2.8","109"
"서울특별시교육청","교육부","서울특별시 성북구","S000003561","서울대학교사범대학부설고등학교","04","국립","N","","2학년","남자","31.4","0.00","","7","","","","40.1","","176.8","24.2","","1",".8","10","8.5","42","35.6","50","42.4","15","12.7","118"
"서울특별시교육청","교육부","서울특별시 성북구","S000003561","서울대학교사범대학부설고등학교","04","국립","N","","2학년","여자","19.7","0.00","","12.8","","","","24.2","9","129.2","22.4","","1",".9","13","11.5","47","41.6","42","37.2","10","8.8","113"
"서울특별시교육청","교육부","서울특별시 성북구","S000003561","서울대학교사범대학부설고등학교","04","국립","N","","3학년","남자","45.3","0.00","","8.1","","","","41.5","","193.1","25.1","","2","1.5","16","12.3","51","39.2","46","35.4","15","11.5","130"
"서울특별시교육청","교육부","서울특별시 성북구","S000003561","서울대학교사범대학부설고등학교","04","국립","N","","3학년","여자","19.5","0.00","","11.7","","","","24.4","","128.2","22.2","","0","0","11","8.9","54","43.9","48","39","10","8.1","123"
"서울특별시교육청","교육부","서울특별시 금천구","S000005401","국립전통예술고등학교","04","국립","N","","1학년","남자","70.2","0.00","","13.9","","","","44.2","","218.6","22.9","","3","8.3","18","50","14","38.9","1","2.8","0","0","36"
"서울특별시교육청","교육부","서울특별시 금천구","S000005401","국립전통예술고등학교","04","국립","N","","1학년","여자","39.5","0.00","","21.7","","","","25.5","","160.3","20.9","","7","5","78","56.1","43","30.9","11","7.9","0","0","139"
"서울특별시교육청","교육부","서울특별시 금천구","S000005401","국립전통예술고등학교","04","국립","N","","2학년","남자","61.3","0.00","","18.1","","","","45.1","","224.1","24.2","","0","0","19","48.7","13","33.3","7","17.9","0","0","39"
"서울특별시교육청","교육부","서울특별시 금천구","S000005401","국립전통예술고등학교","04","국립","N","","2학년","여자","28.3","0.00","","22.7","","","","27.2","","162.1","21.7","","5","3.7","54","40","61","45.2","14","10.4","1",".7","135"
"서울특별시교육청","교육부","서울특별시 금천구","S000005401","국립전통예술고등학교","04","국립","N","","3학년","남자","63.3","0.00","","13.1","","","","42.2","","223.4","23","","0","0","23","50","16","34.8","5","10.9","2","4.3","46"
"서울특별시교육청","교육부","서울특별시 금천구","S000005401","국립전통예술고등학교","04","국립","N","","3학년","여자","38.7","0.00","","19.3","","","","26.3","","158.5","20.8","","1",".8","54","44.3","50","41","15","12.3","2","1.6","122"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","1학년","남자","50","5.50","","12","","46","71.4","39.1","7.8","","22.9","","8","8.2","38","38.8","38","38.8","14","14.3","0","0","98"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","1학년","여자","25.8","0.00","","16.7","","","38.3","","9.6","","20.8","","9","5.9","71","46.4","67","43.8","6","3.9","0","0","153"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","2학년","남자","48.1","0.00","","12.7","","16","76.5","44.1","8.8","211","23","","1",".8","39","30","84","64.6","3","2.3","3","2.3","130"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","2학년","여자","25.6","0.00","","18.2","","","39.6","","10.6","","22.2","","4","2.6","48","31.2","99","64.3","3","1.9","0","0","154"
"서울특별시교육청","서울특별시교육청","서울특별시 송파구","S010000370","가락고등학교","04","공립","N","","3학년","남자","44.6","0.00","","11.9","","","77","","8.1","","23.9","","4","3.2","33","26.6","65","52.4","21","16.9","1",".8","124"
